doc_id,company_name,file_name,file_path,document_type,document_date,effective_date,fund_id,total_pages,extraction_date
DOC000026,KB자산운용,R2_KR5127450215.pdf,data/투자설명서/KB자산운용/R2_KR5127450215.pdf,투자설명서,2025-05-17,2025-06-27,FUND000025,52,2026-08-31
DOC000027,KB자산운용,R2_KR5127450217.pdf,data/투자설명서/KB자산운용/R2_KR5127450217.pdf,투자설명서,2025-05-17,2025-06-27,FUND000025,52,2026-08-31
DOC000028,KB자산운용,R2_KR5127450473.pdf,data/투자설명서/KB자산운용/R2_KR5127450473.pdf,투자설명서,2025-11-05,2025-11-26,FUND000026,53,2026-08-31
DOC000029,NH-Amundi자산운용,R2_KR5144420020.pdf,data/투자설명서/NH-Amundi자산운용/R2_KR5144420020.pdf,투자설명서,2025-09-01,2025-11-06,FUND000027,74,2026-08-31
DOC000030,NH-Amundi자산운용,R2_KR5144420081.pdf,data/투자설명서/NH-Amundi자산운용/R2_KR5144420081.pdf,투자설명서,2025-01-25,2025-06-18,FUND000028,76,2026-08-31
DOC000031,NH-Amundi자산운용,R2_KR5144420091.pdf,data/투자설명서/NH-Amundi자산운용/R2_KR5144420091.pdf,투자설명서,2025-09-14,2025-11-20,FUND000029,70,2026-08-31
DOC000032,NH-Amundi자산운용,R2_KR5144450095.pdf,data/투자설명서/NH-Amundi자산운용/R2_KR5144450095.pdf,투자설명서,2025-08-14,2025-10-21,FUND000030,72,2026-08-31
DOC000033,다올자산운용,R2_KR5152420028.pdf,data/투자설명서/다올자산운용/R2_KR5152420028.pdf,투자설명서,2025-01-17,2025-01-24,FUND000031,53,2026-08-31
DOC000034,신영자산운용,R2_KR5125450023.pdf,data/투자설명서/신영자산운용/R2_KR5125450023.pdf,투자설명서,2025-05-25,2025-11-06,FUND000032,61,2026-08-31
DOC000035,신영자산운용,R2_KR5125450070.pdf,data/투자설명서/신영자산운용/R2_KR5125450070.pdf,투자설명서,2025-05-24,2025-06-11,FUND000033,59,2026-08-31
DOC000036,하나자산운용,R2_KR5111420047.pdf,data/투자설명서/하나자산운용/R2_KR5111420047.pdf,투자설명서,2025-05-16,2025-10-24,FUND000034,68,2026-08-31
