class_id,fund_id,period,return_pct,benchmark_return_pct,as_of_date,source_doc_id,source_page,source_text
CLASS000007,FUND000001,SINCE_INCEPTION,3.17,2.53,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- P2; 최초설정일 2020-08-27; SINCE_INCEPTION 수익률 3.17%
CLASS000008,FUND000001,1Y,4.89,4.14,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- Pe2; 최초설정일 2019-09-04; 1Y 수익률 4.89%
CLASS000008,FUND000001,2Y,5.46,4.71,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- Pe2; 최초설정일 2019-09-04; 2Y 수익률 5.46%
CLASS000008,FUND000001,3Y,5.17,4.27,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- Pe2; 최초설정일 2019-09-04; 3Y 수익률 5.17%
CLASS000008,FUND000001,5Y,3.29,2.51,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- Pe2; 최초설정일 2019-09-04; 5Y 수익률 3.29%
CLASS000008,FUND000001,SINCE_INCEPTION,3.17,2.47,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- Pe2; 최초설정일 2019-09-04; SINCE_INCEPTION 수익률 3.17%
CLASS000009,FUND000001,1Y,4.99,4.14,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C-F; 최초설정일 2020-05-14; 1Y 수익률 4.99%
CLASS000009,FUND000001,2Y,5.57,4.71,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C-F; 최초설정일 2020-05-14; 2Y 수익률 5.57%
CLASS000009,FUND000001,3Y,4.62,3.74,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C-F; 최초설정일 2020-05-14; 3Y 수익률 4.62%
CLASS000009,FUND000001,5Y,2.88,2.14,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C-F; 최초설정일 2020-05-14; 5Y 수익률 2.88%
CLASS000009,FUND000001,SINCE_INCEPTION,2.93,2.16,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C-F; 최초설정일 2020-05-14; SINCE_INCEPTION 수익률 2.93%
CLASS000010,FUND000001,1Y,4.91,4.14,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )S; 최초설정일 2019-11-19; 1Y 수익률 4.91%
CLASS000010,FUND000001,2Y,5.49,4.71,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )S; 최초설정일 2019-11-19; 2Y 수익률 5.49%
CLASS000010,FUND000001,3Y,5.2,4.27,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )S; 최초설정일 2019-11-19; 3Y 수익률 5.20%
CLASS000010,FUND000001,5Y,3.31,2.51,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )S; 최초설정일 2019-11-19; 5Y 수익률 3.31%
CLASS000010,FUND000001,SINCE_INCEPTION,3.37,2.58,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )S; 최초설정일 2019-11-19; SINCE_INCEPTION 수익률 3.37%
CLASS000011,FUND000001,1Y,4.94,4.14,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )S-P; 최초설정일 2019-10-29; 1Y 수익률 4.94%
CLASS000011,FUND000001,2Y,5.51,4.71,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )S-P; 최초설정일 2019-10-29; 2Y 수익률 5.51%
CLASS000011,FUND000001,3Y,5.22,4.27,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )S-P; 최초설정일 2019-10-29; 3Y 수익률 5.22%
